Using device: mps
======================================================================
Training model: MLP
======================================================================
Total trainable parameters: 795,010
Starting strategy: constant
momentum | Epoch 9 | Train Loss: 0.0098 | Train Acc: 99.8683% | Test Loss: 0.0591 | Test Acc: 98.1900% | LR: 0.010000 | Time: 7.04s
momentum | Epoch 10 | Train Loss: 0.0076 | Train Acc: 99.9350% | Test Loss: 0.0556 | Test Acc: 98.3200% | LR: 0.010000 | Time: 7.03s
momentum | Epoch 11 | Train Loss: 0.0060 | Train Acc: 99.9550% | Test Loss: 0.0572 | Test Acc: 98.2600% | LR: 0.010000 | Time: 7.01s
momentum | Epoch 12 | Train Loss: 0.0048 | Train Acc: 99.9733% | Test Loss: 0.0560 | Test Acc: 98.4100% | LR: 0.010000 | Time: 7.03s
momentum | Epoch 13 | Train Loss: 0.0040 | Train Acc: 99.9800% | Test Loss: 0.0580 | Test Acc: 98.2700% | LR: 0.010000 | Time: 7.07s
momentum | Epoch 14 | Train Loss: 0.0034 | Train Acc: 99.9900% | Test Loss: 0.0572 | Test Acc: 98.3100% | LR: 0.010000 | Time: 7.03s
momentum | Epoch 15 | Train Loss: 0.0029 | Train Acc: 99.9967% | Test Loss: 0.0562 | Test Acc: 98.3700% | LR: 0.010000 | Time: 7.04s
momentum | Epoch 16 | Train Loss: 0.0026 | Train Acc: 99.9983% | Test Loss: 0.0568 | Test Acc: 98.3800% | LR: 0.010000 | Time: 7.06s
momentum | Epoch 17 | Train Loss: 0.0023 | Train Acc: 100.0000% | Test Loss: 0.0577 | Test Acc: 98.2700% | LR: 0.010000 | Time: 7.02s
momentum | Epoch 18 | Train Loss: 0.0021 | Train Acc: 100.0000% | Test Loss: 0.0571 | Test Acc: 98.3200% | LR: 0.010000 | Time: 7.05s
momentum | Epoch 19 | Train Loss: 0.0019 | Train Acc: 100.0000% | Test Loss: 0.0577 | Test Acc: 98.3400% | LR: 0.010000 | Time: 7.02s
momentum | Epoch 20 | Train Loss: 0.0018 | Train Acc: 99.9983% | Test Loss: 0.0573 | Test Acc: 98.3500% | LR: 0.010000 | Time: 7.01s
momentum | Epoch 21 | Train Loss: 0.0016 | Train Acc: 100.0000% | Test Loss: 0.0582 | Test Acc: 98.3400% | LR: 0.010000 | Time: 7.04s
momentum | Epoch 22 | Train Loss: 0.0015 | Train Acc: 100.0000% | Test Loss: 0.0582 | Test Acc: 98.2900% | LR: 0.010000 | Time: 7.04s
momentum | Epoch 23 | Train Loss: 0.0014 | Train Acc: 99.9983% | Test Loss: 0.0587 | Test Acc: 98.3200% | LR: 0.010000 | Time: 7.04s
momentum | Epoch 24 | Train Loss: 0.0013 | Train Acc: 100.0000% | Test Loss: 0.0583 | Test Acc: 98.3700% | LR: 0.010000 | Time: 7.05s
momentum | Epoch 25 | Train Loss: 0.0013 | Train Acc: 100.0000% | Test Loss: 0.0594 | Test Acc: 98.2900% | LR: 0.010000 | Time: 7.03s
momentum | Epoch 26 | Train Loss: 0.0012 | Train Acc: 100.0000% | Test Loss: 0.0593 | Test Acc: 98.3500% | LR: 0.010000 | Time: 6.97s
momentum | Epoch 27 | Train Loss: 0.0011 | Train Acc: 100.0000% | Test Loss: 0.0596 | Test Acc: 98.3600% | LR: 0.010000 | Time: 7.04s
momentum | Epoch 28 | Train Loss: 0.0011 | Train Acc: 100.0000% | Test Loss: 0.0598 | Test Acc: 98.3600% | LR: 0.010000 | Time: 7.04s
momentum | Epoch 29 | Train Loss: 0.0010 | Train Acc: 100.0000% | Test Loss: 0.0602 | Test Acc: 98.3100% | LR: 0.010000 | Time: 6.95s
momentum | Epoch 30 | Train Loss: 0.0010 | Train Acc: 100.0000% | Test Loss: 0.0606 | Test Acc: 98.3400% | LR: 0.010000 | Time: 7.05s
Starting strategy: decay
