Using device: mps
======================================================================
Training model: MLP
======================================================================
Total trainable parameters: 795,010
Starting strategy: constant
constant | Epoch 1 | Train Loss: 0.5202 | Train Acc: 87.0850% | Test Loss: 0.2943 | Test Acc: 91.7600% | LR: 0.010000 | Time: 6.71s
constant | Epoch 2 | Train Loss: 0.2790 | Train Acc: 92.0717% | Test Loss: 0.2385 | Test Acc: 93.2400% | LR: 0.010000 | Time: 6.44s
constant | Epoch 3 | Train Loss: 0.2307 | Train Acc: 93.5433% | Test Loss: 0.2045 | Test Acc: 94.1200% | LR: 0.010000 | Time: 6.50s
constant | Epoch 4 | Train Loss: 0.1980 | Train Acc: 94.4433% | Test Loss: 0.1832 | Test Acc: 94.7400% | LR: 0.010000 | Time: 6.49s
constant | Epoch 5 | Train Loss: 0.1735 | Train Acc: 95.1300% | Test Loss: 0.1606 | Test Acc: 95.2500% | LR: 0.010000 | Time: 6.52s
constant | Epoch 6 | Train Loss: 0.1544 | Train Acc: 95.6517% | Test Loss: 0.1455 | Test Acc: 95.7000% | LR: 0.010000 | Time: 6.54s
constant | Epoch 7 | Train Loss: 0.1388 | Train Acc: 96.1400% | Test Loss: 0.1349 | Test Acc: 96.0300% | LR: 0.010000 | Time: 6.56s
constant | Epoch 8 | Train Loss: 0.1264 | Train Acc: 96.4817% | Test Loss: 0.1246 | Test Acc: 96.4100% | LR: 0.010000 | Time: 6.56s
constant | Epoch 9 | Train Loss: 0.1158 | Train Acc: 96.8300% | Test Loss: 0.1172 | Test Acc: 96.6100% | LR: 0.010000 | Time: 6.57s
constant | Epoch 10 | Train Loss: 0.1068 | Train Acc: 97.0600% | Test Loss: 0.1112 | Test Acc: 96.7000% | LR: 0.010000 | Time: 6.59s
constant | Epoch 11 | Train Loss: 0.0990 | Train Acc: 97.3250% | Test Loss: 0.1074 | Test Acc: 96.9200% | LR: 0.010000 | Time: 6.57s
constant | Epoch 12 | Train Loss: 0.0924 | Train Acc: 97.4700% | Test Loss: 0.1001 | Test Acc: 97.0100% | LR: 0.010000 | Time: 6.59s
constant | Epoch 13 | Train Loss: 0.0862 | Train Acc: 97.6483% | Test Loss: 0.0958 | Test Acc: 97.1500% | LR: 0.010000 | Time: 6.58s
constant | Epoch 14 | Train Loss: 0.0808 | Train Acc: 97.8067% | Test Loss: 0.0928 | Test Acc: 97.2500% | LR: 0.010000 | Time: 6.59s
constant | Epoch 15 | Train Loss: 0.0758 | Train Acc: 97.9833% | Test Loss: 0.0895 | Test Acc: 97.3500% | LR: 0.010000 | Time: 6.59s
constant | Epoch 16 | Train Loss: 0.0714 | Train Acc: 98.1200% | Test Loss: 0.0870 | Test Acc: 97.3800% | LR: 0.010000 | Time: 6.59s
constant | Epoch 17 | Train Loss: 0.0677 | Train Acc: 98.2100% | Test Loss: 0.0846 | Test Acc: 97.5100% | LR: 0.010000 | Time: 6.62s
constant | Epoch 18 | Train Loss: 0.0641 | Train Acc: 98.3033% | Test Loss: 0.0813 | Test Acc: 97.5700% | LR: 0.010000 | Time: 6.60s
constant | Epoch 19 | Train Loss: 0.0608 | Train Acc: 98.4083% | Test Loss: 0.0800 | Test Acc: 97.5900% | LR: 0.010000 | Time: 6.58s
constant | Epoch 20 | Train Loss: 0.0577 | Train Acc: 98.5150% | Test Loss: 0.0780 | Test Acc: 97.6900% | LR: 0.010000 | Time: 6.58s
constant | Epoch 21 | Train Loss: 0.0549 | Train Acc: 98.5983% | Test Loss: 0.0763 | Test Acc: 97.7500% | LR: 0.010000 | Time: 6.58s
constant | Epoch 22 | Train Loss: 0.0523 | Train Acc: 98.6767% | Test Loss: 0.0744 | Test Acc: 97.7600% | LR: 0.010000 | Time: 6.60s
constant | Epoch 23 | Train Loss: 0.0496 | Train Acc: 98.7600% | Test Loss: 0.0735 | Test Acc: 97.7300% | LR: 0.010000 | Time: 6.58s
